id,text,offensive_aggregated,offense_a1,offense_a2,offense_a3,offense_a4
65,"Als we ver willen geraken of het #wk2018 willen winnen, zal de pers toch eens moeten beginnen met positief te zijn en achter de @USER te staan.",NOT,NOT,NOT,NOT,OFF
66,@USER @USER Ik wil niet over spelfouten zeiken maar de Amerikanen komen je vanzelf halen. De wereld wilt jou gewoon niet.,OFF,,,,
67,Schatzoekers speuren wereldwijd naar duurste klassieke auto ooit URL,NOT,NOT,NOT,NOT,NOT
68,"@USER jammer dat als je voor bijna €100 de week boodschappen besteld, de andijvie maar tot maandag houdbaar is :frowning_face_selector: URL",NOT,OFF,NOT,NOT,NOT
69,@USER *LABEL: Dit bericht is betaald door George Soros,NOT,OFF,NOT,NOT,NOT
70,Hier mijn nieuwe Snapchat account &amp; insta heb ik verwijderd :face_with_head-bandage: URL,NOT,NOT,NOT,NOT,NOT
71,"@USER Ik wacht al een halve dag op 1 louzy voorbeeld van #racisme hier in #Nederland anders dat autochtonen gediscrimineerd worden bij werk en woning. Je wilt tenslotte toch weten waarom ze allemaal met hun handjes omhoog staan te zwaaien, nietwaar @USER Monenteel: 0 antwoorden",OFF,NOT,OFF,OFF,NOT
72,Triest wat een tuig leeft er in Amerika de jeugd heeft geen opvoeding meer,OFF,OFF,OFF,OFF,OFF
73,"@USER Die Eggermont heeft daar zelf uiteraard geen ervaring mee. Kan aangeven dat het geen groot voordeel is. Je gewone omgeving kan je vaak niet volgen, vindt je vreemd etc. begrijpt je dus niet en heeft geen geduld voor uitgebreide nuance, toelichting. Ast mar simpel is.",NOT,NOT,NOT,NOT,NOT
74,@USER @USER @USER @USER @USER Oh ja! Wat heeft u dan precies geleerd over #jeugdzorg?,NOT,NOT,NOT,NOT,NOT
75,#groenlinks doet altijd een beetje raar over sommige beroepsgroepen..boeren..transportsector zijn dozenschuivers. Dat blijft bij mij hangen,NOT,NOT,NOT,NOT,OFF
76,"@USER Een ambtenaar moet ergens zijn energie kwijt ,met werken lukt dat niet :face_with_rolling_eyes: :beaming_face_with_smiling_eyes: ",NOT,NOT,NOT,OFF,NOT
77,Met de komst van Bram is het ook weer tijd om al onze verzekeringen en het financiële plaatje onder de loep te nemen. Hoe ziet de toekomst van de kinderen eruit als wij komen te overlijden. Wat is er geregeld als er iets mis gaat? Hoe zien onze financiën… URL,NOT,NOT,NOT,NOT,NOT
78,"@USER Of hoge belastingen opgelegd te krijgen. Het zijn trouwens verwarrende tijden, hoe kan iemand uit rechtse kringen enthousiast zijn over het 'economisch systeem zijn in het 3e Rijk als dat 'links' was? URL",NOT,NOT,NOT,NOT,NOT
79,Band LIZZ in actie voor de biologische moeder van Lizz. Wie doet er mee? De locatie is geregeld e Rotterdam. Wij zijn nog in gesprek over de datum. Maar de opzet is dat er een benefietfestival komt. LIZZ treed... URL,NOT,NOT,NOT,NOT,NOT
80,@USER @USER uiteindelijk heeft iedereen een belang in de content en revenues die hieruit ontstaan.,NOT,NOT,NOT,NOT,NOT
81,"@USER Jij vind geweld dus een oplossing? Bedrijven van anderen , die er niks mee te maken hebben in de fik steken , plunderen ? Dat is normaal? Ik vind het mega aso en onrespectvol naar die man en zijn familie. Zoek andere manieren als protest maar dit is absurd",OFF,NOT,OFF,OFF,OFF
82,"Moslima eist dat twee hondjes aan boord verwijderd worden, maar wordt zelf het vliegtuig uitgekickt. Het juiste onrein diertje is verwijderd. En zo moet dat! URL",OFF,,,,
83,"Khalid Kasem (van Kasem en De Vries) verdacht van lekken aan Ridouan Taghi Peter R. de Vries kondigde zijn vertrek aan als directeur van het kantoor want het ""floreert"" nu . Van timing gesproken. :backhand_index_pointing_down: URL",NOT,NOT,NOT,NOT,NOT
84,"@USER ik zal 't zo wel ff tweeten, anders moet ik het iedereen dm'en",NOT,NOT,NOT,NOT,NOT
85,@USER Ja samen met haar dochter die haar Griek kaalplukt,NOT,NOT,NOT,NOT,NOT
86,"De Cavalerie is ter plaatse... Nou Sorospoppen, ga nu maar eens rellen met je betaalde muil!",OFF,OFF,OFF,OFF,OFF
87,"01-06-18 19 :26: 41 0177678 (L313 MEN sig) (OOFF) : OPRUIMEN OPENBARE WEG, MOORSELE, WITTEMOLENSTRAAT. """,NOT,NOT,NOT,NOT,OFF
88,Altijd extreemrechts tuig dat moslims betrapt op onaangepast gedrag. Typisch.,OFF,,,,
89,@USER Wij zijn Duitsland niet!#1Vdebat :thinking_face:,NOT,NOT,NOT,NOT,NOT
90,Music Event : Haarlemse PopScene On Tour - Slotfeest Date: 2018-09-06 Deze avond is de Slotviering van Haarlemse PopScene On Tour seizoen 20172018. Voor u spelen 6 van de 13 dit seizoen deelnemende Haarlemse startende bands daartoe uitgekozen door de... URL,NOT,NOT,NOT,NOT,NOT
91,"@USER @USER Als je haar als tweede minister naast Stef Blok zet op buitenlandse zaken, dan sowieso.",NOT,NOT,NOT,NOT,NOT
92,@USER Heb het ene filmpje gezien die jonge was op zijn skateboard opeens werd die door iedereen a aangevallen en de Afrikanen trappen en slaan zelfs met een voorwerp,NOT,NOT,NOT,NOT,OFF
93,"@USER @USER @USER Vraag dat aan de politici , influencers , media en SJW helden die het steeds bijsleuren ? Feiten zijn wat ze zijn en mogen benoemd worden of u ook #ImOffendend ? Waarom hakken ze op blanken in ? Hypocriet niet ? Maar over oa. Zuid-Afrika geen woord tjah",OFF,OFF,OFF,NOT,OFF
94,Moslims hebben terdege wel wat te maken met het terrorisme #arena,OFF,,,,
95,@USER Dus jij roept ook naar de postbode als ie richting de brievenbus loopt: GOOI M ERIN!!!,NOT,NOT,NOT,NOT,NOT
96,"@USER Goed verwoord meneer Paas, maar ik mis de afhandeling van de oude dossiers die structureel te laag zijn gecalculeerd. Het aanbod is te laag en het wordt geaccepteerd omdat mensen het geld niet hebben om te procederen en ze te gestrest zijn en murm van alle ellende.",NOT,NOT,NOT,NOT,NOT
97,Inspecteur mag bewijsstukken kosten verbouwing jaren na dato nog opvragen URL,NOT,NOT,NOT,NOT,NOT
98,Vertegenwoordiger Ukraine naar Holocaust conferentie is een groot fan van de Nazi's. Zijn niet te vertrouwen URL,OFF,NOT,OFF,OFF,OFF
99,"Juristen moeten geen juristen onderzoeken, tenzij het buitenlanders zijn en dan vertrouw ik het nog niet. Als het systeem bedreigd wordt, veranderen juristen in onverbeterlijke elkaar #handbovenhethoofdhouders. Nogmaals: zie Hoge Raad in en na oorlogstijd. URL",OFF,OFF,OFF,OFF,OFF
100,"Nou ja,is gewoon een hele leuke act!!",NOT,NOT,NOT,NOT,NOT
101,@USER mij je postcode en huisnummer in een DM sturen samen met je track and trace code? 2/2 ^Buse,NOT,NOT,NOT,NOT,NOT
102,@USER ik denk dat ik de laatste in NL was. Dan voel je je op gegeven moment toch genegeerd.,NOT,NOT,NOT,NOT,OFF
103,@USER @USER @USER @USER @USER @USER En wat drinkt u als u op een terras gaat zitten ? URL,NOT,NOT,NOT,NOT,NOT
104,@USER @USER We kunnen ook mensen doodmaken eens kijken of dat je dan ook een nerts voelt.,OFF,,,,
105,"@USER Pff hoe zijn Yemeni behandelen en pakistani, indiers, bengali, Afrikanen en uberhaupt alle shia naaaaah niet normaal",NOT,NOT,NOT,NOT,OFF
106,Politie BBN - Persalarm $pol: Kampweg Vorstenbosch inwerking zijnde drugslab aangetroffen. Persvoorlichting niet tp wel telefonisch bereikbaar. #politie #Brandweer,NOT,NOT,NOT,NOT,NOT
107,Korte staking bij DSB opgeheven URL,NOT,NOT,NOT,NOT,NOT
108,"#kortingking #dagdeal #DealDonkey Movelly fingerprint slot - mat zwart van €50,00 voor €19,95 URL",NOT,NOT,NOT,NOT,NOT
109,@USER ik hoor je ouders al naar je kamer stormen-,NOT,NOT,NOT,NOT,NOT
110,Ik vind een @USER leuk: URL,NOT,NOT,NOT,NOT,NOT
111,@USER Jij past niet meer in de Nederlandse samenleving als je niet voor ons land opkomt en niet ziet dat de islam Europese landen verziekt . Denk niet Als ik de krokodil voer wordt ik niet opgevreten ...jij bent t dessert . Islam = 270 miljoen doden in 1400 jaar . VreeTzaam hè ???,OFF,,,,
112,@USER Trump baalt er van dat zijn leugens ontmaskerd ( gefactchecked) worden :grinning_squinting_face: ,OFF,NOT,NOT,OFF,OFF
113,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Als je decimerende partijtje spontaan niet genoeg stemmen haalt, dan koop je ze gewoon.",OFF,OFF,OFF,OFF,NOT
114,De temperatuur om 19 :00 is 17.8°C Voelt aan als 17.8°C Vochtigheid : 91﹪ Wind : W 8.6km/u Luchtdruk: 1018.7 hpa UV :0.6 Zon: 114.0 W/m² Grashoogte(10cm) is 17.6°C Regen/dag : 4.2mm Regen/maand: 4.2mm Regen/jaar: 316.2mm,NOT,NOT,NOT,NOT,NOT
115,College wil bedrijvenlandgoed Slinge ontwikkelen - URL,NOT,NOT,NOT,NOT,NOT
116,"@USER @USER @USER En je denkt dat mensen elkaar nu nog niet opzoeken? De regering is gewoon te snel geweest met dit oordeel. Competitie had prima, zonder publiek, uitgespeeld kunnen worden vanaf medio juni.",NOT,NOT,NOT,NOT,NOT
117,Ik hoor mezelf zeggen : ik ga daarna niet meer mee stappen hoor dus ik laat mijn ov kaart thuis. En meteen daarna: ach kan geen kwaad. Neem 'm toch maar voor de zekerheid mee. :beaming_face_with_smiling_eyes: :thinking_face: ,NOT,NOT,NOT,NOT,NOT
118,@USER In de natuur groeien ze meestal ook op plekken waar ze maar héél weinig water krijgen. Vaak tussen de rotsen in. Hebben daardoor bladeren ontwikkeld die vocht uit de lucht halen.,NOT,NOT,NOT,NOT,NOT
119,De bal rolt weer …. voorbeschouwing 4 en 5 mei URL,NOT,NOT,NOT,NOT,NOT
120,"De Koning gaat naar Apeldoorn, terwijl ie eens stevig met Femke zou moeten gaan praten. Loser. #demonstratie",OFF,,,,
121,Leesdame bestaat deze maand 7 jaar! Voor een 'Vraag-me-alles' mag je leuke en originele vragen bedenken. Bij voorkeur niet 'waarom en hoe ben je gaan bloggen?' Dat heb ik al te vaak uitgelegd ;). Voor de steller van de leukste vraag heb ik misschien nog wel een kleinigheidje ;),NOT,NOT,NOT,NOT,NOT
122,@USER Wait what?! Ik dacht serieus dat het van vorig jaar nog was :flushed_face: maar THANKS!!,NOT,NOT,NOT,NOT,NOT
123,@USER Een groot toneelspel van hysterische wijven,OFF,OFF,OFF,OFF,OFF
124,Ik voorzie over 3 weken duizenden doden en honderdduizenden besmettingen #Corona door die demonstratie van gisteren #Amsterdam of zal het wel weer meevallen zoals de paniek #Hemelvaartsdag toen werd er ook gezegd dat het uit de hand zou lopen #Corona maar gelukkig loos alarm.....,NOT,NOT,NOT,NOT,NOT
125,@USER Jamaar dat was vast een verwarde man :face_with_tears_of_joy: :face_with_tears_of_joy: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: ownee dat gebruiken ze hier in Nederland :smiling_face_with_sunglasses: :rolling_on_the_floor_laughing: :face_with_tears_of_joy: ,NOT,NOT,NOT,NOT,NOT
126,NIEUW! op Twitter en zinspeelt op nieuwe titel – Voetbalkrant URL,NOT,NOT,NOT,NOT,NOT
127,Stem op de Cranendonckse Tim Ras voor deelname aan expeditie Robinson 2017! Tim Ras URL,NOT,NOT,NOT,NOT,NOT
128,"@USER Zeker, de @USER informeerde ons daar onlangs over! Veel minder criminaliteit. Inkrimpen aantal politiemensen een optie. Welkom in de wildernis.",NOT,NOT,NOT,NOT,NOT
129,Check deze analyse en hoe valt dit uit te leggen? Sinds wanneer rijdt de politie in ambulances en halen ze gewonden op? URL,NOT,NOT,NOT,NOT,NOT
130,prio 1 jacob canisstraat nijmegen br gebouw rpn 2151 8901 2131 2331 2091 inc 141709: Brandweer met spoed naar Jacob Canisstraat in Nijmegen,NOT,NOT,NOT,NOT,NOT
131,@USER Het extreem linkse CNN wordt belaagd door nog extremistische linkse figuren. Hoe het kan verkeren. Zegt wel weer genoeg over dat gespuis!,OFF,OFF,OFF,OFF,OFF
132,Niet rascistisch..... URL,NOT,NOT,NOT,NOT,NOT
133,"Lang haar, krullen, jawline, kuiltjes, humor, respect en zorgzaamheid URL",NOT,NOT,NOT,NOT,NOT
134,Temperatuur=0.4|Regen.dag=0.0mm|Wind=3.1<br>m/s|Max._windstoot=9.8m/s|Richting=ESE|Relatieve_vochtigheid=71.0%|Regen_laatste_uur=0.0mm|Zonnestraling/globale_straling=9.3W/m2,NOT,NOT,NOT,NOT,NOT
135,"@USER @USER @USER en jij links kutje, ga afwassen!",OFF,,,,
136,De Britten zijn de enige mensen die deze man verafgoden URL,NOT,NOT,NOT,OFF,NOT
137,Mensen doen alsof 0.02% (ruim geschat) van de Moslims alle Moslims zijn of aansturen. Dan heb je echt een steekje los.,OFF,,,,
138,De shithole wordt groter en groter! Welke supermarkt zit Soros dik in belegd?,OFF,OFF,NOT,OFF,OFF
139,@USER Wat een laffe tweet! Gadverdamme. Er zijn mensen die geen afscheid hebben mogen nemen door alle maatregelen. En dan gebeurd dit! Gvd. Gelijkheid is gelijk voor iedereen. Je bent af en een enorme lul door deze denigrerende tweet! Eikel!,OFF,,,,
140,@USER hij alsof en worden de papiertjes niet bedrukt. Verrrmooeeeiiieeennndd,NOT,NOT,NOT,NOT,OFF
141,Elsevier Turken moeten ook hier kunnen spreken NRC Het gevoel zegt dat het vreemd is dat Turkse ministers naar… URL,NOT,NOT,NOT,NOT,NOT
142,Opletten geblazen,NOT,NOT,NOT,NOT,NOT
143,Wilders vocht al voor onze vrijheid voordat twitter bestond! Meer leugens! En arrogant doen alsof je nog iets zinnigs gezegd hebt? Lulletje! URL,OFF,,,,
144,@USER @USER @USER U analyserend vermogen laat blijkbaar te wensen over. Juist omdat dit geen griep is maar erger. RIVM loopt hopeloos achter. Zelfs mbt mondmaskers negeren ze onderzoek uit 2018 vd de WHO aangaande mondmaskers terwijl ze juist meestal veilig achter de WHO aanhobbelen.,OFF,NOT,NOT,OFF,OFF
145,@USER Dank je wel,NOT,NOT,NOT,NOT,NOT
146,@USER @USER eerst hele binnenlandse economie naar de kloten helpen en dan terug willen,OFF,OFF,OFF,NOT,OFF
147,"Vanmiddag bij de #Op1 redactie: \u201cRecisme VS jongens. Wie nodigen we uit. Ff googelen? Nee, bel me moeder wel ff. Die keek vroeger altijd Sesamstraat\u201d. En toen zat #GerdaHavertong in de studio om racisme in de VS te duiden. Un-fucking-believable... \ud83d\ude33\ud83d\ude33\ud83d\ude33",OFF,OFF,OFF,OFF,OFF
148,Meer geld naar subsidies voor #zonnecellen (privé en commercieel) en windparken misschien ook geen slecht idee?? #PenJ #Groningen #Gas,NOT,NOT,NOT,NOT,OFF
149,@USER @USER Nja :relieved_face: De moestuin rolt hier goed :smiling_face_with_smiling_eyes: ,NOT,NOT,NOT,NOT,NOT
150,@USER @USER @USER Serieus? Wat een woord alleen al. Als je ruzie zoekt met dat soort mensen dan kan je dat verwachten.,OFF,OFF,NOT,OFF,OFF
151,@USER @USER Maar die heeft u van uw eigen geld voorzien van kunst...? :beaming_face_with_smiling_eyes: ,NOT,NOT,NOT,NOT,NOT
152,President Erdogan heeft stemmen uit de Turkse diaspora hard nodig #AlgemeenNieuws URL,NOT,NOT,NOT,NOT,NOT
153,#gratis #film twee rijpere vrouwen likken elkaars vagina naar hoogtepunt URL,OFF,OFF,NOT,OFF,NOT
154,@USER Hee wat grappig! Ben heel benieuwd hoe het gaat. Vast niet al te lastig maar we zullen zien.,NOT,NOT,NOT,NOT,NOT
155,"@USER @USER @USER Neen, ik verdedig hem niet. Hoe dom bent u? Ik vind het een schande dat politieke idioten hierop springen en slechts een gedeelte van deze conversatie misbruiken. Heb dan tenminste het fatsoen om alles te kopiëren. En ja, als je boel zoekt met crapuul riskeer je een reactie.",OFF,,,,
156,@USER @USER @USER @USER Ach het vieze inteelt berbertje roggelt weer iets uit zijn kanaal. Hoorde ooit een oudere boer zeggen; het doodtrappen niet waard. Begrijp nu wat hij bedoelde.,OFF,,,,
